year,geography_id,geography_name,geography_level,parent_district_id,parent_district_name,focus_role,area_type,table_basis,count_male,count_female,count_total,rate,within_area_count,outside_area_count,outside_state_count,source_id,quality_flag
2002,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,URBAN,place_of_residence,999,720,1719,5.52,1521,198,,karnataka_crs_2002,
2003,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,RURAL,place_of_occurrence,3468,1957,5425,,5379,46,4,karnataka_crs_2003,
2003,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,RURAL,place_of_residence,,,,,,,,karnataka_crs_2003,missing_death_side
2003,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,TOTAL,place_of_occurrence,4954,2770,7724,,6830,894,7,karnataka_crs_2003,
2003,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,TOTAL,place_of_residence,,,,,,,,karnataka_crs_2003,missing_death_side
2003,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,URBAN,place_of_occurrence,1486,813,2299,,1451,848,3,karnataka_crs_2003,
2003,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,URBAN,place_of_residence,984,538,1522,6.57,1451,71,,karnataka_crs_2003,
2003,chikkamagaluru_cmc,Chikkamagaluru CMC,town_1_lakh_plus,chikkamagaluru,Chikkamagaluru,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,528,255,783,,415,368,0,karnataka_crs_2003,
2003,chikkamagaluru_cmc,Chikkamagaluru CMC,town_1_lakh_plus,chikkamagaluru,Chikkamagaluru,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,288,132,420,3.99,415,5,,karnataka_crs_2003,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,4006,3363,7369,,7132,237,53,karnataka_crs_2003,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,5198,4655,9853,8.41,7132,2721,,karnataka_crs_2003,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,8372,6096,14468,,10935,3533,421,karnataka_crs_2003,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,7938,5879,13817,7.13,10935,2882,,karnataka_crs_2003,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,4366,2733,7099,,3803,3296,368,karnataka_crs_2003,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,2740,1224,3964,5.19,3803,161,,karnataka_crs_2003,
2003,hassan,Hassan,district,hassan,Hassan,surrounding_district,RURAL,place_of_occurrence,4804,3617,8421,,8324,97,18,karnataka_crs_2003,
2003,hassan,Hassan,district,hassan,Hassan,surrounding_district,RURAL,place_of_residence,5562,4442,10004,6.97,8324,1680,,karnataka_crs_2003,
2003,hassan,Hassan,district,hassan,Hassan,surrounding_district,TOTAL,place_of_occurrence,6670,5004,11674,,9899,1775,25,karnataka_crs_2003,
2003,hassan,Hassan,district,hassan,Hassan,surrounding_district,TOTAL,place_of_residence,6685,5017,11702,6.7,9899,1803,,karnataka_crs_2003,
2003,hassan,Hassan,district,hassan,Hassan,surrounding_district,URBAN,place_of_occurrence,1866,1387,3253,,1575,1678,7,karnataka_crs_2003,
2003,hassan,Hassan,district,hassan,Hassan,surrounding_district,URBAN,place_of_residence,1123,575,1698,5.48,1575,123,,karnataka_crs_2003,
2003,hassan_cmc,Hassan CMC,town_1_lakh_plus,hassan,Hassan,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,530,667,1197,,697,500,5,karnataka_crs_2003,
2003,hassan_cmc,Hassan CMC,town_1_lakh_plus,hassan,Hassan,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,352,346,698,5.89,697,1,,karnataka_crs_2003,
2003,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,RURAL,place_of_occurrence,1535,612,2147,,2036,111,9,karnataka_crs_2003,
2003,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,RURAL,place_of_residence,1929,746,2675,5.53,2036,639,,karnataka_crs_2003,
2003,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,TOTAL,place_of_occurrence,2273,867,3140,,2419,721,9,karnataka_crs_2003,
2003,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,TOTAL,place_of_residence,2308,883,3191,5.71,2419,772,,karnataka_crs_2003,
2003,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,URBAN,place_of_occurrence,738,255,993,,383,610,0,karnataka_crs_2003,
2003,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,URBAN,place_of_residence,379,137,516,6.88,383,133,,karnataka_crs_2003,
2003,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,2207,868,3075,7.34,3068,7,,karnataka_crs_2003,
2003,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,,,,,,,,karnataka_crs_2003,missing_death_side
2003,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,RURAL,place_of_occurrence,4155,2227,6382,,6293,89,48,karnataka_crs_2003,
2003,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,RURAL,place_of_residence,4602,2420,7022,6.47,6293,729,,karnataka_crs_2003,
2003,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,TOTAL,place_of_occurrence,6972,3324,10296,,9774,522,61,karnataka_crs_2003,
2003,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,TOTAL,place_of_residence,7231,3424,10655,6.37,9774,881,,karnataka_crs_2003,
2003,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,URBAN,place_of_occurrence,2817,1097,3914,,3481,433,13,karnataka_crs_2003,
2003,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,URBAN,place_of_residence,2629,1004,3633,6.18,3481,152,,karnataka_crs_2003,
2003,shivamogga_cmc,Shivamogga CMC,town_1_lakh_plus,shivamogga,Shivamogga,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,1509,754,2263,,1992,271,13,karnataka_crs_2003,
2003,shivamogga_cmc,Shivamogga CMC,town_1_lakh_plus,shivamogga,Shivamogga,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,1360,675,2035,7.21,1992,43,,karnataka_crs_2003,
2003,udupi,Udupi,district,udupi,Udupi,surrounding_district,RURAL,place_of_occurrence,4930,3527,8457,,8033,424,26,karnataka_crs_2003,missing_birth_side
2003,udupi,Udupi,district,udupi,Udupi,surrounding_district,RURAL,place_of_residence,6148,3960,10108,10.97,8033,2075,,karnataka_crs_2003,
2003,udupi,Udupi,district,udupi,Udupi,surrounding_district,TOTAL,place_of_residence,7086,4549,11635,10.35,9182,2453,,karnataka_crs_2003,
2003,udupi,Udupi,district,udupi,Udupi,surrounding_district,URBAN,place_of_occurrence,1893,1049,2942,,1149,1793,37,karnataka_crs_2003,
2003,udupi,Udupi,district,udupi,Udupi,surrounding_district,URBAN,place_of_residence,938,589,1527,7.52,1149,378,,karnataka_crs_2003,
2003,udupi_cmc,Udupi CMC,town_1_lakh_plus,udupi,Udupi,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,1265,653,1918,,431,1487,34,karnataka_crs_2003,
2003,udupi_cmc,Udupi CMC,town_1_lakh_plus,udupi,Udupi,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,394,250,644,5.78,431,213,,karnataka_crs_2003,
2003,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,RURAL,place_of_occurrence,3640,2480,6120,,6050,70,7,karnataka_crs_2003,
2003,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,RURAL,place_of_residence,4048,2714,6762,6.96,6050,712,,karnataka_crs_2003,
2003,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,TOTAL,place_of_occurrence,5408,3698,9106,,8341,765,13,karnataka_crs_2003,
2003,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,TOTAL,place_of_residence,5429,3716,9145,6.64,8341,804,,karnataka_crs_2003,
2003,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,URBAN,place_of_occurrence,1768,1218,2986,,2291,695,6,karnataka_crs_2003,
2003,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,URBAN,place_of_residence,1381,1002,2383,5.88,2291,92,,karnataka_crs_2003,
2004,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,RURAL,place_of_occurrence,3200,1569,4769,,4631,138,24,karnataka_crs_2004,
2004,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,RURAL,place_of_residence,3681,1896,5577,6.0,4631,946,,karnataka_crs_2004,
