year,geography_id,geography_name,geography_level,parent_district_id,parent_district_name,focus_role,area_type,table_basis,count_male,count_female,count_total,rate,within_area_count,outside_area_count,outside_state_count,source_id,quality_flag
2002,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,TOTAL,place_of_residence,12632,11987,24619,22.23,15856,8763,,karnataka_crs_2002,
2002,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,URBAN,place_of_occurrence,6214,5864,12078,,3593,8485,43,karnataka_crs_2002,
2002,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,URBAN,place_of_residence,2156,2037,4193,18.58,3593,600,,karnataka_crs_2002,
2002,chikkamagaluru_cmc,Chikkamagaluru CMC,town_1_lakh_plus,chikkamagaluru,Chikkamagaluru,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,1973,1845,3818,,2601,1217,1,karnataka_crs_2002,
2002,chikkamagaluru_cmc,Chikkamagaluru CMC,town_1_lakh_plus,chikkamagaluru,Chikkamagaluru,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,1344,1287,2631,25.64,2601,30,,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,7926,7600,15526,,14854,672,238,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_residence,13305,13054,26359,22.63,14854,11505,,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_occurrence,21939,21634,43573,,23194,20379,1553,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,TOTAL,place_of_residence,20951,20635,41586,21.82,23194,18392,,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_occurrence,14013,14034,28047,,8340,19707,1315,karnataka_crs_2002,
2002,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,URBAN,place_of_residence,7646,7581,15227,20.55,8340,6887,,karnataka_crs_2002,
2002,hassan,Hassan,district,hassan,Hassan,surrounding_district,RURAL,place_of_occurrence,7887,7556,15443,,15047,396,17,karnataka_crs_2002,
2002,hassan,Hassan,district,hassan,Hassan,surrounding_district,RURAL,place_of_residence,12251,12073,24324,17.09,15047,9277,,karnataka_crs_2002,
2002,hassan,Hassan,district,hassan,Hassan,surrounding_district,TOTAL,place_of_occurrence,15475,15026,30501,,18367,12134,41,karnataka_crs_2002,
2002,hassan,Hassan,district,hassan,Hassan,surrounding_district,TOTAL,place_of_residence,15204,14865,30069,17.38,18367,11702,,karnataka_crs_2002,
2002,hassan,Hassan,district,hassan,Hassan,surrounding_district,URBAN,place_of_occurrence,7588,7470,15058,,3320,11738,24,karnataka_crs_2002,
2002,hassan,Hassan,district,hassan,Hassan,surrounding_district,URBAN,place_of_residence,2953,2792,5745,18.75,3320,2425,,karnataka_crs_2002,
2002,hassan_cmc,Hassan CMC,town_1_lakh_plus,hassan,Hassan,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,3828,3529,7357,,2364,4993,10,karnataka_crs_2002,
2002,hassan_cmc,Hassan CMC,town_1_lakh_plus,hassan,Hassan,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,1242,1152,2394,20.42,2364,30,,karnataka_crs_2002,
2002,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,RURAL,place_of_occurrence,1469,1340,2809,,2707,102,13,karnataka_crs_2002,
2002,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,RURAL,place_of_residence,3080,3122,6202,13.01,2707,3495,,karnataka_crs_2002,
2002,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,TOTAL,place_of_occurrence,4341,4264,8605,,5021,3584,18,karnataka_crs_2002,
2002,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,TOTAL,place_of_residence,4345,4285,8630,15.64,5021,3609,,karnataka_crs_2002,
2002,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,URBAN,place_of_occurrence,2872,2924,5796,,2314,3482,5,karnataka_crs_2002,
2002,kodagu,Kodagu,district,kodagu,Kodagu,surrounding_district,URBAN,place_of_residence,1265,1163,2428,32.26,2314,114,,karnataka_crs_2002,
2002,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_occurrence,7490,7407,14897,,6146,8751,1048,karnataka_crs_2002,
2002,mangaluru_city,Mangaluru City,city,dakshina_kannada,Dakshina Kannada,primary_city,ONE_LAKH_PLUS_TOWN,place_of_residence,3051,3130,6181,15.23,6146,35,,karnataka_crs_2002,
2002,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,RURAL,place_of_occurrence,4865,5024,9889,,9509,380,76,karnataka_crs_2002,
2002,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,RURAL,place_of_residence,8646,9173,17819,16.56,9509,8310,,karnataka_crs_2002,
2002,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,TOTAL,place_of_occurrence,14130,14399,28529,,17667,10862,206,karnataka_crs_2002,
2002,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,TOTAL,place_of_residence,14750,15048,29798,18.03,17667,12131,,karnataka_crs_2002,
2002,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,URBAN,place_of_occurrence,9265,9375,18640,,8158,10482,130,karnataka_crs_2002,
2002,shivamogga,Shivamogga,district,shivamogga,Shivamogga,surrounding_district,URBAN,place_of_residence,6104,5875,11979,20.78,8158,3821,,karnataka_crs_2002,
2002,shivamogga_cmc,Shivamogga CMC,town_1_lakh_plus,shivamogga,Shivamogga,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,5519,5424,10943,,5201,5742,107,karnataka_crs_2002,
2002,shivamogga_cmc,Shivamogga CMC,town_1_lakh_plus,shivamogga,Shivamogga,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,2880,2702,5582,20.15,5201,381,,karnataka_crs_2002,
2002,udupi,Udupi,district,udupi,Udupi,surrounding_district,RURAL,place_of_occurrence,5424,5574,10998,,10417,581,25,karnataka_crs_2002,
2002,udupi,Udupi,district,udupi,Udupi,surrounding_district,RURAL,place_of_residence,10340,10538,20878,22.92,10417,10461,,karnataka_crs_2002,
2002,udupi,Udupi,district,udupi,Udupi,surrounding_district,TOTAL,place_of_occurrence,11795,11778,23573,,12540,11033,97,karnataka_crs_2002,
2002,udupi,Udupi,district,udupi,Udupi,surrounding_district,TOTAL,place_of_residence,11735,11772,23507,21.06,12540,10967,,karnataka_crs_2002,
2002,udupi,Udupi,district,udupi,Udupi,surrounding_district,URBAN,place_of_occurrence,6371,6204,12575,,2123,10452,72,karnataka_crs_2002,
2002,udupi,Udupi,district,udupi,Udupi,surrounding_district,URBAN,place_of_residence,1395,1234,2629,12.81,2123,506,,karnataka_crs_2002,
2002,udupi_cmc,Udupi CMC,town_1_lakh_plus,udupi,Udupi,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,2907,2927,5834,,1369,4465,37,karnataka_crs_2002,
2002,udupi_cmc,Udupi CMC,town_1_lakh_plus,udupi,Udupi,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,901,734,1635,14.53,1369,266,,karnataka_crs_2002,
2002,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,RURAL,place_of_occurrence,5341,5122,10463,,9551,912,39,karnataka_crs_2002,
2002,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,RURAL,place_of_residence,10882,10204,21086,21.79,9551,11535,,karnataka_crs_2002,
2002,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,TOTAL,place_of_occurrence,15037,13590,28627,,14871,13756,186,karnataka_crs_2002,
2002,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,TOTAL,place_of_residence,14262,12857,27119,21.2,14871,12248,,karnataka_crs_2002,
2002,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,URBAN,place_of_occurrence,9696,8468,18164,,5320,12844,147,karnataka_crs_2002,
2002,uttara_kannada,Uttara Kannada,district,uttara_kannada,Uttara Kannada,surrounding_district,URBAN,place_of_residence,3380,2653,6033,19.36,5320,713,,karnataka_crs_2002,
2003,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,RURAL,place_of_occurrence,5882,5132,11014,,10346,668,10,karnataka_crs_2003,
2003,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,RURAL,place_of_residence,9153,8193,17346,19.87,10346,7000,,karnataka_crs_2003,
2003,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,TOTAL,place_of_occurrence,12281,11010,23291,,14124,9167,50,karnataka_crs_2003,
2003,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,TOTAL,place_of_residence,11580,10424,22004,19.92,14124,7880,,karnataka_crs_2003,
2003,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,URBAN,place_of_occurrence,6399,5878,12277,,3778,8499,40,karnataka_crs_2003,
2003,chikkamagaluru,Chikkamagaluru,district,chikkamagaluru,Chikkamagaluru,surrounding_district,URBAN,place_of_residence,2427,2231,4658,20.12,3778,880,,karnataka_crs_2003,
2003,chikkamagaluru_cmc,Chikkamagaluru CMC,town_1_lakh_plus,chikkamagaluru,Chikkamagaluru,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_occurrence,1732,1427,3159,,1412,1747,15,karnataka_crs_2003,
2003,chikkamagaluru_cmc,Chikkamagaluru CMC,town_1_lakh_plus,chikkamagaluru,Chikkamagaluru,surrounding_town,ONE_LAKH_PLUS_TOWN,place_of_residence,1061,855,1916,18.19,1412,504,,karnataka_crs_2003,
2003,dakshina_kannada,Dakshina Kannada,district,dakshina_kannada,Dakshina Kannada,primary_district,RURAL,place_of_occurrence,9210,8651,17861,,17179,682,207,karnataka_crs_2003,
