document_id,source_record_id,source_title,source_family,source_url,parent_document_id,archive_entry_path,document_label,document_url,document_role,priority_score,file_extension,fetch_status,parse_status,page_count,rendered_page_count,text_char_count,table_count,archive_entry_count,money_amount_count,date_count,procurement_ref_count,location_token_count,review_priority,limitations
mscl_doc_b4d207d4110951db_child_3c0a1119314543d4,mscl_project_58bab29edb7010f7,Conversion of Streetlight to LED,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/33,mscl_doc_b4d207d4110951db,Final RFP/RFP final 040119.pdf,RFP final 040119.pdf,https://mangalurusmartcity.net/contents/1695526.47587635-1019173.69775531.rar#archive-entry=Final%20RFP/RFP%20final%20040119.pdf,rfp,110,.pdf,archive_extracted,parsed,3,1,340919,0,0,20,19,115,3,high,
mscl_doc_79185b91aa03160a,mscl_project_b6c2f9b5ed0ab8bd,LED Light in Govt. Buildings,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/20,,,BOQ,https://mangalurusmartcity.net/contents/6264502.04116502-747942.631547101.rar,boq,70,.rar,exists,archive_inventory_extracted,0,0,0,0,3,0,0,0,0,medium,Archive contents were inventoried; parseable child files were extracted into linked child document records.
mscl_doc_79185b91aa03160a_child_3c8e99f065a2e99f,mscl_project_b6c2f9b5ed0ab8bd,LED Light in Govt. Buildings,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/20,mscl_doc_79185b91aa03160a,BOQ/Annexure-10 Detialed estimate.pdf,Annexure-10 Detialed estimate.pdf,https://mangalurusmartcity.net/contents/6264502.04116502-747942.631547101.rar#archive-entry=BOQ/Annexure-10%20Detialed%20estimate.pdf,boq,80,.pdf,archive_extracted,parsed,3,1,14043,0,0,0,0,3,1,medium,
mscl_doc_79185b91aa03160a_child_6dc12f9a78396121,mscl_project_b6c2f9b5ed0ab8bd,LED Light in Govt. Buildings,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/20,mscl_doc_79185b91aa03160a,BOQ/BOQ- with rate 27092018- without buy back.pdf,BOQ- with rate 27092018- without buy back.pdf,https://mangalurusmartcity.net/contents/6264502.04116502-747942.631547101.rar#archive-entry=BOQ/BOQ-%20with%20rate%2027092018-%20without%20buy%20back.pdf,boq,80,.pdf,archive_extracted,parsed,3,1,17239,0,0,0,0,2,1,medium,
mscl_doc_8b5325187ac10653,mscl_project_ebcb7dbf7feeaf21,Command and Control Center Stage I,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/35,,,BOQ,https://mangalurusmartcity.net/contents/7556550.10117057-818985.675350065.rar,boq,70,.rar,exists,archive_inventory_extracted,0,0,0,0,5,0,0,0,0,medium,Archive contents were inventoried; parseable child files were extracted into linked child document records.
mscl_doc_8b5325187ac10653_child_c9f502d687dabc24,mscl_project_ebcb7dbf7feeaf21,Command and Control Center Stage I,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/35,mscl_doc_8b5325187ac10653,BOQ/mangaluruccc_rfp_volume-1.pdf,mangaluruccc_rfp_volume-1.pdf,https://mangalurusmartcity.net/contents/7556550.10117057-818985.675350065.rar#archive-entry=BOQ/mangaluruccc_rfp_volume-1.pdf,rfp,110,.pdf,archive_extracted,parsed,3,1,269781,0,0,123,6,127,1,high,
mscl_doc_8b5325187ac10653_child_d1bad5623a0b1649,mscl_project_ebcb7dbf7feeaf21,Command and Control Center Stage I,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/35,mscl_doc_8b5325187ac10653,BOQ/mangaluruccc_rfp_volume-2.pdf,mangaluruccc_rfp_volume-2.pdf,https://mangalurusmartcity.net/contents/7556550.10117057-818985.675350065.rar#archive-entry=BOQ/mangaluruccc_rfp_volume-2.pdf,rfp,110,.pdf,archive_extracted,parsed,3,1,391376,0,0,22,2,169,7,high,
mscl_doc_8b5325187ac10653_child_657d5c55907f0910,mscl_project_ebcb7dbf7feeaf21,Command and Control Center Stage I,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/35,mscl_doc_8b5325187ac10653,BOQ/mangaluruccc_rfp_volume-3.pdf,mangaluruccc_rfp_volume-3.pdf,https://mangalurusmartcity.net/contents/7556550.10117057-818985.675350065.rar#archive-entry=BOQ/mangaluruccc_rfp_volume-3.pdf,rfp,110,.pdf,archive_extracted,parsed,3,1,173938,0,0,7,0,120,1,high,
mscl_doc_8b5325187ac10653_child_d80a7554d84c46dd,mscl_project_ebcb7dbf7feeaf21,Command and Control Center Stage I,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/35,mscl_doc_8b5325187ac10653,BOQ/goods_catalogue_for refference2018may11.pdf,goods_catalogue_for refference2018may11.pdf,https://mangalurusmartcity.net/contents/7556550.10117057-818985.675350065.rar#archive-entry=BOQ/goods_catalogue_for%20refference2018may11.pdf,boq,80,.pdf,archive_extracted,parsed,3,1,76224,0,0,0,0,4,1,medium,
mscl_doc_8cd441f5654a2ba0,mscl_project_9d8efd51940b0efb,Installation of Rooftop Solar on Government Building in ABD area-Phase 1,mscl_live_public_project_pages,https://mangalurusmartcity.net/project/34,,,BOQ,https://mangalurusmartcity.net/contents/7973303.48658064-106144.640008879.zip,boq,70,.zip,exists,archive_inventory_extracted,0,0,0,0,2,0,0,0,0,medium,Archive contents were inventoried; parseable child files were extracted into linked child document records.
