event_month,event_year,family_group,family_group_label,source_label,event_count
2011-07,2011,fire_emergency,Fire and emergency,Daijiworld,4
2011-07,2011,governance,Governance,Daijiworld,2
2011-07,2011,health,Health,Daijiworld,3
2011-07,2011,other,Other,Daijiworld,3
2011-07,2011,crime_public_safety,Public safety,Daijiworld,1
2011-07,2011,flood_weather,Rain and weather,Daijiworld,3
2011-07,2011,road_safety,Road safety,Daijiworld,14
2011-08,2011,civic_infrastructure,Civic work,Daijiworld,5
2011-08,2011,fire_emergency,Fire and emergency,Daijiworld,3
2011-08,2011,health,Health,Daijiworld,1
2011-08,2011,flood_weather,Rain and weather,Daijiworld,2
2011-08,2011,road_safety,Road safety,Daijiworld,11
2011-09,2011,civic_infrastructure,Civic work,Daijiworld,1
2011-09,2011,education,Education,Daijiworld,3
2011-09,2011,fire_emergency,Fire and emergency,Daijiworld,4
2011-09,2011,governance,Governance,Daijiworld,1
2011-09,2011,health,Health,Daijiworld,2
2011-09,2011,other,Other,Daijiworld,2
2011-09,2011,crime_public_safety,Public safety,Daijiworld,2
2011-09,2011,road_safety,Road safety,Daijiworld,12
2011-10,2011,civic_infrastructure,Civic work,Daijiworld,3
2011-10,2011,education,Education,Daijiworld,3
2011-10,2011,fire_emergency,Fire and emergency,Daijiworld,4
2011-10,2011,governance,Governance,Daijiworld,2
2011-10,2011,health,Health,Daijiworld,1
2011-10,2011,other,Other,Daijiworld,1
2011-10,2011,crime_public_safety,Public safety,Daijiworld,1
2011-10,2011,flood_weather,Rain and weather,Daijiworld,1
2011-10,2011,road_safety,Road safety,Daijiworld,19
2011-11,2011,civic_infrastructure,Civic work,Daijiworld,3
2011-11,2011,education,Education,Daijiworld,1
2011-11,2011,fire_emergency,Fire and emergency,Daijiworld,5
2011-11,2011,other,Other,Daijiworld,3
2011-11,2011,crime_public_safety,Public safety,Daijiworld,1
2011-11,2011,road_safety,Road safety,Daijiworld,12
2011-12,2011,civic_infrastructure,Civic work,Daijiworld,2
2011-12,2011,education,Education,Daijiworld,3
2011-12,2011,fire_emergency,Fire and emergency,Daijiworld,4
2011-12,2011,governance,Governance,Daijiworld,1
