event_id,event_year,event_month,published_date,event_date,source_id,source_label,topic_label,domain,event_type,selected_location_name,map_lat,map_lon,map_precision,title,url
NEWS_TOI_2015_05_01_FLOOD_CAUSE,2015,2015-05,2015-05-01,2015-05-01,times_of_india,Other sources,Rain and weather,flood,urban_flooding,Kottara Chowki,12.910302,74.836243,junction,,https://timesofindia.indiatimes.com/city/mangaluru/faulty-drains-debris-cause-artificial-flooding-in-mangaluru/articleshow/47118538.cms
CAND_MANGALOREAN.COM_1633d254a1bf,2018,2018-07,2018-07-19,2018-07-19,mangalorean_com,Mangalorean.com,Civic work,public_works,civic_infrastructure_intervention,Pumpwell,12.857423,74.856686,junction,JD(S) Stages Protest against Delay in Pumpwell and Thokkottu Flyover work - Mangalorean.com,https://www.mangalorean.com/jds-stages-protest-against-delay-in-pumpwell-and-thokkottu-flyover-work/
CAND_MANGALOREAN.COM_1f12a835dab5,2018,2018-08,2018-08-21,2018-08-21,mangalorean_com,Mangalorean.com,Rain and weather,flood,urban_flooding,Nanthoor,12.8956,74.8599,junction,City's 'Nanthoor Junction' should be Renamed as 'Potholes Junction'? - Mangalorean.com,https://www.mangalorean.com/citys-nanthoor-junction-should-be-renamed-as-potholes-junction/
CAND_MANGALOREAN.COM_327ee89d2920,2018,2018-07,2018-07-30,2018-07-30,mangalorean_com,Mangalorean.com,Civic work,public_works,civic_infrastructure_intervention,Pumpwell,12.857423,74.856686,junction,Congress to Hold Protest against Delay in Pumpwell Flyover work - J R Lobo - Mangalorean.com,https://www.mangalorean.com/congress-to-hold-protest-against-delay-in-pumpwell-flyover-work-j-r-lobo/
CAND_MANGALOREAN.COM_4ca0a761d24c,2018,2018-08,2018-08-01,2018-08-01,mangalorean_com,Mangalorean.com,Civic work,public_works,civic_infrastructure_intervention,Pumpwell,12.857423,74.856686,junction,Congress Protesters burn Effigy of MP Nalin for Delay in Pumpwell Flyover Work - Mangalorean.com,https://www.mangalorean.com/congress-protesters-burn-effigy-of-mp-nalin-for-delay-in-pumpwell-flyover-work/
CAND_MANGALOREAN.COM_50d322c86cd8,2018,2018-08,2018-08-02,2018-08-02,mangalorean_com,Mangalorean.com,Civic work,public_works,civic_infrastructure_intervention,Pumpwell,12.857423,74.856686,junction,Why Congress Holding MP Nalin Responsible for Delay in Pumpwell Flyover Work? - Harikrishna Bantwal - Mangalorean.com,https://www.mangalorean.com/why-congress-holding-mp-nalin-responsible-for-delay-in-pumpwell-flyover-work-harikrishna-bantwal/
CAND_MANGALOREAN.COM_638cc537e592,2018,2018-06,2018-06-27,2018-06-27,mangalorean_com,Mangalorean.com,Rain and weather,flood,urban_flooding,Padil,12.8796,74.8739,junction,Padil RUB Flooded Again! 4 Wheeler Wade through Water/2 Wheeler Riders Use Walkway - Mangalorean.com,https://www.mangalorean.com/padil-rub-flooded-again-4-wheeler-wade-through-water-2-wheeler-riders-use-walkway/
CAND_MANGALOREAN.COM_db4ada70ecb0,2018,2018-11,2018-11-18,2018-11-18,mangalorean_com,Mangalorean.com,Civic work,public_works,civic_infrastructure_intervention,Pumpwell,12.857423,74.856686,junction,Flyover work of Thokkottu and Pumpwell to complete by January end – MP Nalin Kumar Kateel - Mangalorean.com,https://www.mangalorean.com/flyover-work-of-thokkottu-and-pumpwell-to-complete-by-january-end-mp-nalin-kumar-kateel/
NEWS_DH_2018_08_10_FLOOD,2018,2018-08,2018-08-10,2018-08-10,deccan_herald,Other sources,Rain and weather,flood,urban_flooding,Kottara Chowki,12.910302,74.836243,junction,,https://www.deccanherald.com/india/karnataka/artificial-flood-at-kottara-chowki-malemar-areas-686868.html
NEWS_NIE_2018_05_29_FLOOD,2018,2018-05,2018-05-29,2018-05-29,new_indian_express,Other sources,Rain and weather,flood_hospital_access,hospital_access_disruption,KMC Attavar,12.8623,74.8446,public_landmark,,https://www.newindianexpress.com/states/karnataka/2018/May/29/three-hours-of-heavy-rainfall-leaves-mangaluru-flooded-1820957.html
